"establishment_id","establishment_name","minimum_inspections_peryear","lat","lon","score","Freq","type"
"10296424","ALLIS BAKERY",2,43.6742928,-79.460324,100,392,"Bakery"
"10237729","DUNDAS PORTUGUESE",2,43.6497445,-79.4318492,100,392,"Bakery"
"9000804","ASIA BAKERY",2,43.6800825,-79.3382202,82,392,"Bakery"
"9005796","FURAMA CAKE & DESSERTS GARDEN",2,43.6487309,-79.3837591,100,392,"Bakery"
"10192032","HAIROUN BAKERY",2,43.7804229,-79.2977493,100,392,"Bakery"
"10423758","SHORT AND SWEET CUPCAKES",2,43.7339991,-79.4194773,100,392,"Bakery"
"10440692","MOO MILK BAR",2,43.6692758,-79.3040602,100,392,"Bakery"
"9057468","CLAFOUTI",3,43.6454543,-79.4125728,97,392,"Bakery"
"10397783","ZEMEN INJERA",1,43.6854625,-79.3138677,100,392,"Bakery"
"10342583","LIFE IS SWEET",2,43.6737338,-79.2827081,100,392,"Bakery"
"10334632","SWEET FLOUR BAKE SHOP",2,43.6501706,-79.4812143,100,392,"Bakery"
"10352700","PARIS BAKERY & PASTRY",3,43.6624261,-79.4446657,67,392,"Bakery"
"10191241","SAMOSA & SWEETS FACTORY",2,43.745727,-79.6155314,100,392,"Bakery"
"10363019","BAKE SALE INC.",2,43.6402786,-79.5379597,100,392,"Bakery"
"9048382","PATTIE WORLD BAKERY",3,43.7538631,-79.6087834,100,392,"Bakery"
"10307503","PRINCE EDWARD BAKERY",2,43.7858943,-79.351107,95,392,"Bakery"
"10421777","Jin Cheng Bakery",2,43.8161808,-79.3244419,100,392,"Bakery"
"9023352","CINNABON",2,43.7171167,-79.5963342,100,392,"Bakery"
"9013803","SERANO FOOD MARKET",2,43.6829707,-79.3467707,100,392,"Bakery"
"9016940","UPPER CRUST",2,43.7754724,-79.4916915,100,392,"Bakery"
"9364488","PORT UNION BAKERY",2,43.7892841,-79.1407069,100,392,"Bakery"
"9348474","NEW MOON KITCHEN",2,43.667794,-79.449842,100,392,"Bakery"
"10394300","NADEGE",2,43.6800662,-79.3907791,100,392,"Bakery"
"10303833","LE THOBORS CAFE",2,43.7045038,-79.3884612,100,392,"Bakery"
"9343259","ITALIAN HOME BAKERY",2,43.6960873,-79.5900751,100,392,"Bakery"
"10437050","Splendid Bakery",2,43.8245265,-79.3033537,99,392,"Bakery"
"10257388","KING OF KINGS BAKERY",2,43.7478433,-79.5216477,100,392,"Bakery"
"10402113","ANI BAKERY",2,43.7447097,-79.2906821,100,392,"Bakery"
"10405646","VINCENZA'S CRISTOLI",2,43.7690773,-79.5393584,100,392,"Bakery"
"10424363","BLUE SKY BAKERY",2,43.7521751,-79.2547909,100,392,"Bakery"
"9002308","CANAAN CAKE",2,43.7645156,-79.410631,100,392,"Bakery"
"10395675","CHERRY'S BAKE SHOP",2,43.6319318,-79.575394,100,392,"Bakery"
"9418872","VENARELLO'S BAKERY & DELI",3,43.7081343,-79.4534744,77,392,"Bakery"
"10369184","PITA BROS",2,43.7633529,-79.4764965,100,392,"Bakery"
"10404819","Everbest Bakery",2,43.8088942,-79.2698542,62,392,"Bakery"
"10425811","YEKTA BAKERY",2,43.7696937,-79.2808935,100,392,"Bakery"
"9012381","POP-INS FROZEN FOODS CO. LTD",2,43.7836036,-79.4782661,62,392,"Bakery"
"9007939","JUBILEE CAKES",2,43.6810519,-79.3100367,100,392,"Bakery"
"9009949","MEDITERRANEAN BAKERY",2,43.7685126,-79.534767,100,392,"Bakery"
"10384192","TRE MARI BAKERY",3,43.6765689,-79.4487374,100,392,"Bakery"
"10322457","LPK'S CULINARY GROOVE",2,43.6589435,-79.3495571,100,392,"Bakery"
"9046077","VEGAN DELIGHTS",2,43.7788557,-79.4751373,100,392,"Bakery"
"9002263","CALDENSE BAKERY AND PASTRIES III",3,43.6664823,-79.4513992,64,392,"Bakery"
"9031690","WHAT A BAGEL!",2,43.7531263,-79.3594009,100,392,"Bakery"
"9002014","BUN KING BAKERY",2,43.7436467,-79.60403,100,392,"Bakery"
"10269171","PALERMO BAKERY",2,43.6786843,-79.4400199,100,392,"Bakery"
"9001853","BREAD MASTER BAKERY & DELI",3,43.8066819,-79.2221992,89,392,"Bakery"
"10348748","SWIRLS",2,43.6614007,-79.5088521,94,392,"Bakery"
"10453104","LAWASH BAKERY",2,43.7592179,-79.5624672,100,392,"Bakery"
"9020370","NSAWAM BAKERY",2,43.6838657,-79.4828278,100,392,"Bakery"
"10306585","WANDA'S PIE IN THE SKY",2,43.6562186,-79.4026795,99,392,"Bakery"
"9006170","GLOUCESTER BAKERY",2,43.8223671,-79.3062521,80,392,"Bakery"
"10425017","THE CUPCAKE OUTLET",2,43.6005496,-79.5447806,100,392,"Bakery"
"9007921","JOSEPH'S FOODS & CAKES",3,43.7747115,-79.4705117,100,392,"Bakery"
"10352007","CAKE HOUSE BAKERY",2,43.7570544,-79.5193142,63,392,"Bakery"
