"925 KINGSTON RD, Toronto, Ontario","925 Kingston Road, Toronto, ON M4E 3L7, Canada",43.6802545,-79.2887088,OK,
"604 DANFORTH AVE, Toronto, Ontario","604 Danforth Avenue, Toronto, ON M4K 1R2, Canada",43.6787928,-79.3463223,OK,
"1865 LESLIE ST, Toronto, Ontario","1865 Leslie Street, Toronto, ON M2L 2E8, Canada",43.75493609999999,-79.3604204,OK,
"990 DANFORTH AVE, Toronto, Ontario","990 Danforth Avenue, Toronto, ON M4J 1L8, Canada",43.6804092,-79.3373007,OK,
"1725 EGLINTON AVE E, Toronto, Ontario","1725 Eglinton Avenue East, Toronto, ON M4A, Canada",43.7254963,-79.3139381,OK,
"260 RICHMOND ST E, Toronto, Ontario","260 Richmond Street East, Toronto, ON M5A 3S9, Canada",43.6531902,-79.3703621,OK,
"721 PALMERSTON AVE, Toronto, Ontario","721 Palmerston Avenue, Toronto, ON M6G 2R2, Canada",43.6675526,-79.4146198,OK,
"165 EAST LIBERTY ST, Toronto, Ontario","165 Liberty Street, Toronto, ON M6K 1Y7, Canada",43.6374019,-79.42512289999999,OK,
"171 EAST LIBERTY ST, Toronto, Ontario","171 East Liberty Street, Toronto, ON M6K, Canada",43.638265,-79.417441,OK,
"58 REDLEA AVE, Toronto, Ontario","58 Redlea Avenue, Toronto, ON M1V 4S5, Canada",43.8232706,-79.3052879,OK,
"1016 PAPE AVE, Toronto, Ontario","1016 Pape Avenue, East York, ON M4K 3V7, Canada",43.6889711,-79.348804,OK,
"5550 LAWRENCE AVE E, Toronto, Ontario","5550 Lawrence Avenue East, Toronto, ON M1C 5K4, Canada",43.7795895,-79.1367173,OK,
"2943 BLOOR ST W, Toronto, Ontario","2943 Bloor Street West, Toronto, ON M8X 1B8, Canada",43.6480481,-79.50753850000001,OK,
"2 WELLESLEY ST W, Toronto, Ontario","2 Wellesley Street West, Toronto, ON M4Y 1E7, Canada",43.664973,-79.3848368,OK,
"1942 GERRARD ST E, Toronto, Ontario","1942 Gerrard Street East, Toronto, ON M4L 2C1, Canada",43.6809687,-79.310992,OK,
"1929 GERRARD ST E, Toronto, Ontario","1929 Gerrard Street East, Toronto, ON M4L 2C1, Canada",43.6805027,-79.3113043,OK,
"1221 WESTON RD, Toronto, Ontario","1221 Weston Road, Toronto, ON M6M 4P7, Canada",43.6882155,-79.4925028,OK,
"388 CARLAW AVE, Toronto, Ontario","388 Carlaw Avenue, Toronto, ON M4M, Canada",43.6664669,-79.34232829999999,OK,
"682 QUEEN ST E, Toronto, Ontario","682 Queen Street East, Toronto, ON M4M 1H1, Canada",43.6587837,-79.3508926,OK,
"3313 BLOOR ST W, Toronto, Ontario","3313 Bloor Street West, Etobicoke, ON M8Z 4H4, Canada",43.6452512,-79.5201196,OK,
"3353 BLOOR ST W, Toronto, Ontario","3353 Bloor Street West, Toronto, ON M8X 1E9, Canada",43.6448867,-79.52200610000001,OK,
"1623 ST CLAIR AVE W, Toronto, Ontario","1623 Saint Clair Avenue West, Toronto, ON M6E 1C9, Canada",43.6746196,-79.4565851,OK,
"610 MAGNETIC DR, Toronto, Ontario","610 Magnetic Drive, Toronto, ON M3J 3J2, Canada",43.7838382,-79.4754504,OK,
"345 FLINT RD, Toronto, Ontario","345 Flint Road, Toronto, ON M3J 2L9, Canada",43.770723,-79.47995829999999,OK,
"3929 JANE ST, Toronto, Ontario","3929 Jane Street, Toronto, ON M3N 2K1, Canada",43.7557851,-79.51727,OK,
"994 BATHURST ST, Toronto, Ontario","994 Bathurst Street, Toronto, ON M5R 3G8, Canada",43.6703872,-79.4133841,OK,
"990 BATHURST ST, Toronto, Ontario","990 Bathurst Street, Toronto, ON M5R 3G8, Canada",43.670163,-79.4133115,OK,
"69 YONGE ST, Toronto, Ontario","69 Yonge Street, Toronto, ON, Canada",43.6489644,-79.3778023,OK,
"2454 LAKE SHORE BLVD W, Toronto, Ontario","2454 Lake Shore Boulevard West, Toronto, ON M8V 1E1, Canada",43.6136849,-79.4893822,OK,
"209 ELLESMERE RD, Toronto, Ontario","209 Ellesmere Road, Toronto, ON M1R 3L1, Canada",43.76063629999999,-79.3024595,OK,
"2495 DUFFERIN ST, Toronto, Ontario","2495 Dufferin Street, York, ON M6B 3R1, Canada",43.7016942,-79.451498,OK,
"3575 DUNDAS ST W, Toronto, Ontario","3575 Dundas Street West, Toronto, ON M6S 2S8, Canada",43.665402,-79.49086249999999,OK,
"1054 ALBION RD, Toronto, Ontario","1054 Albion Road, Etobicoke, ON M9V 1A7, Canada",43.7371607,-79.564365,OK,
"625 GERRARD ST E, Toronto, Ontario","625 Gerrard Street East, Toronto, ON M4M 1Y3, Canada",43.6657168,-79.3509684,OK,
"70 OSSINGTON AVE, Toronto, Ontario","70 Ossington Avenue, Toronto, ON M6J 2Z2, Canada",43.645776,-79.41951879999999,OK,
"5353 DUNDAS ST W, Toronto, Ontario","5353 Dundas Street West, Toronto, ON M9B 1B2, Canada",43.6361813,-79.539958,OK,
"4601 KINGSTON RD, Toronto, Ontario","4601 Kingston Road, Toronto, ON M1E, Canada",43.773948,-79.1830973,OK,
"1015 LAKE SHORE BLVD E, Toronto, Ontario","1015 Lake Shore Boulevard East, Toronto, ON M4M 1B3, Canada",43.6585889,-79.328544,OK,
"620 MOUNT PLEASANT RD, Toronto, Ontario","620 Mount Pleasant Road, Toronto, ON M4S 1P1, Canada",43.7041384,-79.388611,OK,
"132 FRONT ST E, Toronto, Ontario","132 Front Street East, Toronto, ON M5A 1E2, Canada",43.6499929,-79.3696799,OK,
