address,full_address,lat,lon
"200 CARLTON ST","200 Carlton Street, Toronto, ON M5A 2K9, Canada",43.663858,-79.37050030000002
"929 DANFORTH AVE","929 Danforth Avenue, Toronto, ON M4J 1L8, Canada",43.6800825,-79.3382202
"2648 ISLINGTON AVE","2648 Islington Avenue, Toronto, ON M9V 2X5, Canada",43.7379067,-79.56570599999999
"308 EDDYSTONE AVE","308 Eddystone Avenue, North York, ON M3N 2H7, Canada",43.7474797,-79.5233947
"10 WESTMORE DR","10 Westmore Drive, Toronto, ON M9V 3Y6, Canada",43.743116,-79.60398459999999
"595 BAY ST","595 Bay Street, Toronto, ON M5G 1M6, Canada",43.6558405,-79.3835375
"1656 JANE ST","1656 Jane Street, Toronto, ON M9N 2R8, Canada",43.7018457,-79.5037834
"390 DANFORTH AVE","390 Danforth Avenue, Toronto, ON M4K 1P1, Canada",43.67772069999999,-79.351751
"1470 ST CLAIR AVE W","1470 Saint Clair Avenue West, Toronto, ON M6E, Canada",43.6758943,-79.45301789999999
"108 YORKVILLE AVE","108 Yorkville Avenue, Toronto, ON M5R 1C1, Canada",43.6709291,-79.392685
"509 DANFORTH AVE","509 Danforth Avenue, Toronto, ON M4K 3E1, Canada",43.6780428,-79.3488481
"707 DANFORTH AVE","707 Danforth Avenue, Toronto, ON M4J 1L2, Canada",43.6791383,-79.3435463
"182 CARLTON ST","182 Carlton Street, Toronto, ON M5A 2K3, Canada",43.6634566,-79.3724125
"955 LAKE SHORE BLVD W","955 Lake Shore Boulevard West, Toronto, ON M6K 3B9, Canada",43.63066389999999,-79.4154452
"1005 BLOOR ST W","1005 Bloor Street West, Toronto, ON M6H 1M1, Canada",43.6608404,-79.4303789
"74 LIPPINCOTT ST","74 Lippincott Street, Toronto, ON M5T 1S9, Canada",43.65685570000001,-79.4065535
"222 DAVENPORT RD","222 Davenport Road, Toronto, ON M5R 1J8, Canada",43.67503,-79.39688989999999
"7 CAMDEN ST","7 Camden Street, Toronto, ON M5V 1V2, Canada",43.647165,-79.39644849999999
"1116 QUEEN ST E","1116 Queen Street East, Toronto, ON M4M 1K9, Canada",43.6621102,-79.3353113
"2284 ISLINGTON AVE","2284 Islington Avenue, Toronto, ON M9W 3W8, Canada",43.71502599999999,-79.55555249999999
"650 SPADINA AVE","650 Spadina Avenue, Toronto, ON M5S, Canada",43.6632001,-79.4022758
"36 VAUGHAN RD","36 Vaughan Road, Toronto, ON M6G 2N4, Canada",43.6821383,-79.4188665
"136 YORKVILLE AVE","136 Yorkville Avenue, Toronto, ON M5R 1C4, Canada",43.670654,-79.3939798
"273 QUEEN ST W","273 Queen Street West, Toronto, ON M5V 1Z9, Canada",43.6500766,-79.38971049999999
"343 JANE ST","343 Jane Street, Toronto, ON M6S 2E2, Canada",43.6573334,-79.4876944
"1156 ALBION RD","1156 Albion Road, Toronto, ON M9V 1A8, Canada",43.7376861,-79.56760369999999
"1376 QUEEN ST W","1376 Queen Street West, Toronto, ON M6K 1L8, Canada",43.6413097,-79.4332246
"33 SAMOR RD","33 Samor Road, Toronto, ON M6A 1J2, Canada",43.71790070000001,-79.4582719
"634 SHEPPARD AVE W","634 Sheppard Avenue West, Toronto, ON M3H 2S4, Canada",43.7551977,-79.4407042
"205 COLLEGE ST","205 College Street, Toronto, ON M5S 3E5, Canada",43.6585732,-79.39568179999999
"1548 BAYVIEW AVE","1548 Bayview Avenue, Toronto, ON M4G 3B4, Canada",43.7048272,-79.3750167
"1002 COLLEGE ST","1002 College Street, Toronto, ON M6H 1A8, Canada",43.6532193,-79.42864630000001
"4915 STEELES AVE E","4915 Steeles Avenue East, Toronto, ON M1V 5M1, Canada",43.8272342,-79.29158520000001
"50 MARMORA ST","50 Marmora Street, Toronto, ON M9M 2J2, Canada",43.7190404,-79.5262171
"701 WARDEN AVE","701 Warden Avenue, Toronto, ON M1L 4N5, Canada",43.7079461,-79.27927989999999
"1531 O'CONNOR DR","1531 O'Connor Drive, East York, ON M4B 2V5, Canada",43.7144043,-79.30558769999999
"18 ELM ST","18 Elm Street, Toronto, ON M5G 1H1, Canada",43.6578142,-79.3825167
"3550 PHARMACY AVE","3550 Pharmacy Avenue, Toronto, ON M1W, Canada",43.8143349,-79.3354243
"100 KING ST W","100 King Street West, Toronto, ON M5X 2A2, Canada",43.6487309,-79.38375909999999
"123 QUEEN ST W","123 Queen Street West, Toronto, ON M5H, Canada",43.6512559,-79.3843677
"525 BAY ST","525 Bay Street, Toronto, ON M5G 2L2, Canada",43.654574,-79.3830175
"1455 GERRARD ST E","1455 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",43.672447,-79.32125529999999
"7 ELM ST","7 Elm Street, Toronto, ON M5G 1M7, Canada",43.6576771,-79.382173
"56 YORK ST","56 York Street, Toronto, ON M5J 1H1, Canada",43.6461042,-79.38295839999999
"220 KING ST W","220 King Street West, Toronto, ON M5H 1K4, Canada",43.64725809999999,-79.3869509
"19 LAPSLEY RD","19 Lapsley Road, Toronto, ON M1B 1N1, Canada",43.795992,-79.2273672
"1917 AVENUE RD","1917 Avenue Road, Toronto, ON M5M 4A1, Canada",43.7333294,-79.4193457
"2534 BAYVIEW AVE","2534 Bayview Avenue, Toronto, ON M2L 1A9, Canada",43.74718619999999,-79.38460300000001
"726 BLOOR ST W","726 Bloor Street West, Toronto, ON M6G 1L2, Canada",43.6636128,-79.4182115
"900 DUFFERIN ST","900 Dufferin Street, Dufferin Mall, Toronto, ON M6H 1K8, Canada",43.6568994,-79.4355343
"1361 LAWRENCE AVE W","1361 Lawrence Avenue West, Toronto, ON M6M, Canada",43.7086226,-79.4777392
"1500 ROYAL YORK RD","1500 Royal York Road, Toronto, ON M9P, Canada",43.691895,-79.53107059999999
"1001 SANDHURST CRCL","1001 Sandhurst Circle, Toronto, ON M1V, Canada",43.8097778,-79.2634782
"270 THE KINGSWAY","270 The Kingsway, Toronto, ON M9A 5E2, Canada",43.6626962,-79.5195695
"6212 YONGE ST","6212 Yonge Street, Toronto, ON M2M 3X6, Canada",43.7947006,-79.4192277
"536 CHURCH ST","536 Church Street, Toronto, ON M4Y 2C6, Canada",43.6651681,-79.38072470000002
"552 DANFORTH AVE","552 Danforth Avenue, Toronto, ON M4K 1P7, Canada",43.6785548,-79.3475527
"736 BATHURST ST","736 Bathurst Street, Toronto, ON M5S 2R5, Canada",43.6637657,-79.41067389999999
"800 BATHURST ST","800 Bathurst Street, Toronto, ON M5R 3G3, Canada",43.6655091,-79.4115503
"216 YONGE ST","216 Yonge Street, Toronto, ON M5B 2H1, Canada",43.6535015,-79.3799018
"160 NEPTUNE DR","160 Neptune Drive, Toronto, ON M6A, Canada",43.729383,-79.441302
"1366 YONGE ST","1366 Yonge Street, Toronto, ON M4T 2P7, Canada",43.6858784,-79.393189
"444 FRONT ST W","444 Front Street West, Toronto, ON M5V 1B8, Canada",43.64219689999999,-79.3959296
"305 PORT UNION RD","305 Port Union Road, Toronto, ON M1C 2L4, Canada",43.7912307,-79.1415209
"290 THE WEST MALL","290 The West Mall, Toronto, ON M9C 1C6, Canada",43.63464829999999,-79.5625664
"4710 JANE ST","4710 Jane Street, Toronto, ON M3N 2L3, Canada",43.7700432,-79.520743
"2825 WESTON RD","2825 Weston Road, Toronto, ON M9M 2S1, Canada",43.720623,-79.5369949
"36 PRINCE ARTHUR AVE","36 Prince Arthur Avenue, Toronto, ON M5R 1A9, Canada",43.669492,-79.3973709
"3855 LAWRENCE AVE E","3855 Lawrence Avenue East, Toronto, ON M1G 1R6, Canada",43.7630106,-79.20981019999999
"2455 QUEEN ST E","2455 Queen Street East, Toronto, ON M4E 1H7, Canada",43.6733499,-79.2838038
"160 THE ESPLANADE","160 The Esplanade, Toronto, ON M5A 4H2, Canada",43.6486671,-79.3690021
"756 QUEEN ST W","756 Queen Street West, Toronto, ON M6J 1E9, Canada",43.64601769999999,-79.4104037
"422 PARLIAMENT ST","422 Parliament Street, Toronto, ON M5A 3A1, Canada",43.6627289,-79.3673439
"3264 LAWRENCE AVE E","3264 Lawrence Avenue East, Toronto, ON M1H 3C2, Canada",43.7574554,-79.2386172
"100 FRONT ST W","100 Front Street West, Toronto, ON M5J 1E3, Canada",43.6455985,-79.38243159999999
"135 RONCESVALLES AVE","135 Roncesvalles Avenue, Toronto, ON M6R 2K9, Canada",43.64320439999999,-79.4477295
"262 THE ESPLANADE","262 The Esplanade, Toronto, ON M5A, Canada",43.6501072,-79.3635207
"1534 QUEEN ST W","1534 Queen Street West, Toronto, ON M6R 1A1, Canada",43.6401479,-79.4393649
"4700 KEELE ST","4700 Keele Street, York University - Keele Campus, Toronto, ON M3J 2S5, Canada",43.7742392,-79.50143159999999
"2377 QUEEN ST E","2377 Queen Street East, Toronto, ON M4E 1H2, Canada",43.6726196,-79.2876282
"657 MARKHAM RD","657 Markham Road, Scarborough, ON M1H 2A7, Canada",43.7612971,-79.2249411
"808 MOUNT PLEASANT RD","808 Mount Pleasant Road, Toronto, ON M4P 2L5, Canada",43.7090884,-79.3904092
"3080 BAYVIEW AVE","3080 Bayview Avenue, North York, ON M2K 1Y7, Canada",43.7786324,-79.3908691
"155 KING ST E","155 King Street East, Toronto, ON M5C 1G9, Canada",43.6503035,-79.37254250000001
"33 YONGE ST","33 Yonge Street, Toronto, ON M5E, Canada",43.6474108,-79.3768027
"482 BLOOR ST W","482 Bloor Street West, Toronto, ON M5S 2N5, Canada",43.6655488,-79.40925539999999
"212 KING ST W","212 King Street West, Toronto, ON M5V 3M2, Canada",43.6474825,-79.3864116
"765 THE QUEENSWAY","765 The Queensway, Etobicoke, ON M8Z 1M8, Canada",43.6258464,-79.5042359
"2424 ST CLAIR AVE W","2424 Saint Clair Avenue West, Toronto, ON M6N 1L2, Canada",43.6695653,-79.482461
"165 THE QUEENSWAY","165 The Queensway, Toronto, ON M8Y, Canada",43.6287999,-79.486013
"748 DOVERCOURT RD","748 Dovercourt Road, Toronto, ON M6H 2W7, Canada",43.6607334,-79.42924239999999
"1299 ELLESMERE RD","1299 Ellesmere Road, Toronto, ON M1P 2X4, Canada",43.7692759,-79.26496929999999
"33 GERRARD ST W","33 Gerrard Street West, Toronto, ON M5G, Canada",43.6587158,-79.38308549999999
"422 COLLEGE ST","422 College Street, Toronto, ON M5T 1S9, Canada",43.6567431,-79.4069642
"1678 AVENUE RD","1678 Avenue Road, North York, ON M5M 3Y5, Canada",43.7270869,-79.4177543
"1449 GERRARD ST E","1449 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",43.6723203,-79.321429
"3277 BLOOR ST W","3277 Bloor Street West, Etobicoke, ON M8X 1E2, Canada",43.64553,-79.51845229999999
"1929 AVENUE RD","1929 Avenue Road, Toronto, ON M5M 4A1, Canada",43.7338002,-79.4196235
"2624 EGLINTON AVE E","2624 Eglinton Avenue East, Scarborough, ON M1K 2S3, Canada",43.7359775,-79.25170670000001
"251 ELLESMERE RD","251 Ellesmere Road, Toronto, ON M1R 4E4, Canada",43.7608004,-79.3021661
"1050 BLOOR ST W","1050 Bloor Street West, Toronto, ON M6H 1M3, Canada",43.6606435,-79.4323305
"880 BLOOR ST W","880 Bloor Street West, Toronto, ON M6G 1M2, Canada",43.6620842,-79.4252013
"360 BLOOR ST W","360 Bloor Street West, Toronto, ON M5S 1X1, Canada",43.6666625,-79.40507470000001
"662 BLOOR ST W","662 Bloor Street West, Toronto, ON M6G 1L1, Canada",43.6641878,-79.4158769
"2283 BLOOR ST W","2283 Bloor Street West, Toronto, ON M6S 1N9, Canada",43.6505785,-79.4788366
"1184 BLOOR ST W","1184 Bloor Street West, Toronto, ON M6H 1N1, Canada",43.6594744,-79.4377806
"2434 BLOOR ST W","2434 Bloor Street West, Toronto, ON M6S 1P9, Canada",43.6494414,-79.4840998
"3180 LAKE SHORE BLVD W","3180 Lake Shore Boulevard West, Toronto, ON M8V 4B7, Canada",43.5979527,-79.51807629999999
"2532 EGLINTON AVE E","2532 Eglinton Avenue East, Toronto, ON M1K 2R5, Canada",43.7352425,-79.2564846
"7 BRIMLEY RD S","7 Brimley Road South, Toronto, ON M1M 1C1, Canada",43.7063407,-79.2317277
"29 CONNELL CRT","29 Connell Court, Toronto, ON M8Z 4X6, Canada",43.6138525,-79.51920009999999
"316 PARLIAMENT ST","316 Parliament Street, Toronto, ON M5A 2Z3, Canada",43.6595065,-79.3660349
"3364 KEELE ST","3364 Keele Street, Toronto, ON M3M 2Y9, Canada",43.7462772,-79.486732
"1378 YONGE ST","1378 Yonge Street, Toronto, ON M4T 1Y5, Canada",43.6863697,-79.3934802
"2895 DUFFERIN ST","2895 Dufferin Street, Toronto, ON M6B 3S7, Canada",43.7082484,-79.4532761
"2875 LAWRENCE AVE E","2875 Lawrence Avenue East, Scarborough, ON M1P 2T8, Canada",43.753634,-79.2532064
"3601 LAWRENCE AVE E","3601 Lawrence Avenue East, Toronto, ON M1H 2A4, Canada",43.7599708,-79.2245111
"71 JARVIS ST","71 Jarvis Street, Toronto, ON M5C, Canada",43.6512919,-79.3722271
"382 OLIVEWOOD RD","382 Olivewood Road, Etobicoke, ON M8Z 5H2, Canada",43.6359633,-79.5314044
"812 QUEEN ST E","812 Queen Street East, Toronto, ON M4M 1H7, Canada",43.659752,-79.3462727
"1020 QUEEN ST E","1020 Queen Street East, Toronto, ON M4M 1K2, Canada",43.6615156,-79.3387439
"1652 ST CLAIR AVE W","1652 Saint Clair Avenue West, Toronto, ON M6N, Canada",43.6748002,-79.45747539999999
"1631 DUNDAS ST W","1631 Dundas Street West, Toronto, ON M6K 1V3, Canada",43.6498463,-79.4362029
"161 HARBORD ST","161 Harbord Street, Toronto, ON M5S 1H4, Canada",43.6620293,-79.4071628
"542 QUEEN ST W","542 Queen Street West, Toronto, ON M5V 2B7, Canada",43.6474668,-79.4027144
"1120 TAPSCOTT RD","1120 Tapscott Road, Toronto, ON M1X 1S9, Canada",43.82772629999999,-79.2442215
"425 ADELAIDE ST W","425 Adelaide Street West, Toronto, ON M5V 3C1, Canada",43.6461015,-79.39797279999999
"934 COLLEGE ST","934 College Street, Toronto, ON M6H 1A3, Canada",43.6536632,-79.42607679999999
"40 WELLINGTON ST E","40 Wellington Street East, Toronto, ON M5E 1C9, Canada",43.6484769,-79.3749505
"1566 DUNDAS ST W","1566 Dundas Street West, Toronto, ON M6K 1T5, Canada",43.6499209,-79.434119
"1260 MARTIN GROVE RD","1260 Martin Grove Road, Toronto, ON M9W 4X2, Canada",43.7079251,-79.5786837
"231 BARTLEY DR","231 Bartley Drive, North York, ON M4A 2N7, Canada",43.7186029,-79.31548409999999
"462 BIRCHMOUNT RD","462 Birchmount Road, Toronto, ON M1K 1N8, Canada",43.7069859,-79.26814820000001
"31 TAPSCOTT RD","31 Tapscott Road, Malvern Town Centre, Toronto, ON M1B 4Y7, Canada",43.8066819,-79.22219919999999
"1820 ELLESMERE RD","1820 Ellesmere Road, Toronto, ON M1H 2T9, Canada",43.7738847,-79.24375440000001
"5 BRAHMS AVE","5 Brahms Avenue, Toronto, ON M2H 1H2, Canada",43.7926485,-79.357903
"44 JACKES AVE","44 Jackes Avenue, Toronto, ON M4T 1E5, Canada",43.6854826,-79.3911839
"81 PEARD RD","81 Peard Road, Toronto, ON M4B 1T7, Canada",43.7106648,-79.29686869999999
"169 GARY DR","169 Gary Drive, North York, ON M9N 2M1, Canada",43.7113571,-79.5169581
"728 QUEEN ST E","728 Queen Street East, Toronto, ON M4M 2H5, Canada",43.6590975,-79.3491789
"842 EGLINTON AVE W","842 Eglinton Avenue West, Toronto, ON M5N 2N6, Canada",43.7011388,-79.4248405
"707 KENNEDY RD","707 Kennedy Road, Scarborough, ON M1K 2C2, Canada",43.7278198,-79.2658604
"486 QUEEN ST W","486 Queen Street West, Toronto, ON M5V 2B6, Canada",43.6479706,-79.4007531
"1469 GERRARD ST E","1469 Gerrard Street East, Toronto, ON M4L 2A3, Canada",43.6725437,-79.32080530000002
"91 FRONT ST E","91 Front Street East, Toronto, ON M5E 1C2, Canada",43.6490629,-79.37212629999999
"603 YONGE ST","603 Yonge Street, Toronto, ON M4Y 1Z9, Canada",43.6667137,-79.3851366
"4242 DUNDAS ST W","4242 Dundas Street West, Toronto, ON M8X 0A3, Canada",43.6591213,-79.51453
"1560 YONGE ST","1560 Yonge Street, Toronto, ON M4T 1Z2, Canada",43.6898789,-79.39483709999999
"2055 AVENUE RD","2055 Avenue Road, North York, ON M5M 4A4, Canada",43.7357368,-79.41986659999999
"979 COXWELL AVE","979 Coxwell Avenue, East York, ON M4J 2W9, Canada",43.6963427,-79.3287001
"666 DUNDAS ST W","666 Dundas Street West, Toronto, ON M5T 2W6, Canada",43.6518992,-79.403403
"242 QUEEN ST E","242 Queen Street East, Toronto, ON M5A 1S5, Canada",43.6548195,-79.36847010000001
"3525 BATHURST ST","3525 Bathurst Street, North York, ON M6A 2C7, Canada",43.7294278,-79.4319466
"300 BOROUGH DR","300 Borough Drive, Toronto, ON M1P, Canada",43.7743445,-79.2535219
"2900 WARDEN AVE","2900 Warden Avenue, Toronto, ON M1W, Canada",43.7983958,-79.3176511
"17 LESLIE ST","17 Leslie Street, Toronto, ON M4M 3C4, Canada",43.6611921,-79.3293057
"2389 BLOOR ST W","2389 Bloor Street West, Toronto, ON M6S 3R2, Canada",43.6497892,-79.4824836
"1835 YONGE ST","1835 Yonge Street, Toronto, ON M4S 1X8, Canada",43.6965976,-79.3962239
"11 WESTMORE DR","11 Westmore Drive, Toronto, ON M9V 1C3, Canada",43.7436467,-79.60403
