"870 MARKHAM RD, Toronto, Ontario","870 Markham Road, Toronto, ON M1H 2Y2, Canada",43.7682525,-79.22865159999999,OK,
"1550 JANE ST, Toronto, Ontario","1550 Jane Street, North York, ON M9N 2R5, Canada",43.6982039,-79.5027124,OK,
"1635 LAWRENCE AVE W, Toronto, Ontario","1635 Lawrence Avenue West, Toronto, ON M6L 3C9, Canada",43.7045112,-79.4921188,OK,
"606 BROWNS LINE, Toronto, Ontario","606 Brown's Line, Toronto, ON M8W 2K2, Canada",43.6053524,-79.54686509999999,OK,
"500 REXDALE BLVD, Toronto, Ontario","500 Rexdale Boulevard, Toronto, ON M9W 6K5, Canada",43.7171167,-79.5963342,OK,
"1172 BLOOR ST W, Toronto, Ontario","1172 Bloor Street West, Toronto, ON M6H 1N1, Canada",43.65952799999999,-79.43713079999999,OK,
"361 OAKWOOD AVE, Toronto, Ontario","361 Oakwood Avenue, Toronto, ON M6E 2W1, Canada",43.6870828,-79.4386538,OK,
"1788 JANE ST, Toronto, Ontario","1788 Jane Street, Toronto, ON M9N 2S5, Canada",43.7063633,-79.5047314,OK,
"187 SHEPPARD AVE E, Toronto, Ontario","187 Sheppard Avenue East, Toronto, ON M2N 3A8, Canada",43.7638723,-79.3992779,OK,
"2372 EGLINTON AVE E, Toronto, Ontario","2372 Eglinton Avenue East, Toronto, ON M1K 2P3, Canada",43.7314836,-79.2712014,OK,
"2548 EGLINTON AVE W, Toronto, Ontario","2548 Eglinton Avenue West, Toronto, ON M6M 1T1, Canada",43.6911317,-79.47138319999999,OK,
"759 JANE ST, Toronto, Ontario","759 Jane Street, Toronto, ON M6N 4B3, Canada",43.6711561,-79.4935064,OK,
"451 PARLIAMENT ST, Toronto, Ontario","451 Parliament Street, Toronto, ON M5A 3A3, Canada",43.6635561,-79.3675518,OK,
"1468 QUEEN ST W, Toronto, Ontario","1468 Queen Street West, Toronto, ON M6K 1M3, Canada",43.6405993,-79.43664869999999,OK,
