"315 DUNDAS ST E, Toronto, Ontario","315 Dundas Street East, Toronto, ON M5A 2A1, Canada",43.6582912,-79.3709828,OK,
"967 EGLINTON AVE W, Toronto, Ontario","967 Eglinton Avenue West, Toronto, ON M6C 2C5, Canada",43.7000588,-79.4293354,OK,
"1891 KENNEDY RD, Toronto, Ontario","1891 Kennedy Road, Scarborough, ON M1P 2L9, Canada",43.766662,-79.28098609999999,OK,
"1615 BIRCHMOUNT RD, Toronto, Ontario","1615 Birchmount Road, Toronto, ON M1P 5C1, Canada",43.7640615,-79.2912443,OK,
"1621 BIRCHMOUNT RD, Toronto, Ontario","1621 Birchmount Road, Toronto, ON M1P 5C1, Canada",43.7641175,-79.29147619999999,OK,
"722 COLLEGE ST, Toronto, Ontario","722 College Street, Toronto, ON M6G 1C2, Canada",43.655162,-79.4190625,OK,
"660 COLLEGE ST, Toronto, Ontario","660 College Street, Toronto, ON M6G 1B8, Canada",43.6551859,-79.4164775,OK,
"396 HOPEWELL AVE, Toronto, Ontario","396 Hopewell Avenue, Toronto, ON M6E 2S1, Canada",43.7004996,-79.44383429999999,OK,
"255 HURON ST, Toronto, Ontario","255 Huron Street, Toronto, ON M5S 1C1, Canada",43.6606503,-79.3988841,OK,
"30 SCARLETT RD, Toronto, Ontario","30 Scarlett Road, Toronto, ON M6N 4J9, Canada",43.6677302,-79.5001915,OK,
"41 MILNER AVE, Toronto, Ontario","41 Milner Avenue, Toronto, ON M1S 3P8, Canada",43.7842053,-79.2530677,OK,
"43 ELM ST, Toronto, Ontario","43 Elm Street, Toronto, ON M5G 1M7, Canada",43.65737790000001,-79.3836618,OK,
"825 COXWELL AVE, Toronto, Ontario","825 Coxwell Avenue, Toronto, ON M4C 3E7, Canada",43.6897586,-79.32592249999999,OK,
"1170 BAY ST, Toronto, Ontario","1170 Bay Street, Toronto, ON M4Y 1R7, Canada",43.6689255,-79.3893541,OK,
"3411 BATHURST ST, Toronto, Ontario","3411 Bathurst Street, North York, ON M6A 2C1, Canada",43.7269498,-79.4313804,OK,
"600 QUEENS QUAY  W, Toronto, Ontario","600 Queens Quay West, Toronto, ON M5V 3M3, Canada",43.6366084,-79.3973546,OK,
"769 YONGE ST, Toronto, Ontario","769 Yonge Street, Toronto, ON M4W 1A3, Canada",43.6711028,-79.38709709999999,OK,
"1025 THE QUEENSWAY, Toronto, Ontario","1025 The Queensway, Toronto, ON M8Z 6C7, Canada",43.6228466,-79.51661039999999,OK,
"800 WARDEN AVE, Toronto, Ontario","800 Warden Avenue, Toronto, ON M1L 4T7, Canada",43.724549,-79.288314,OK,
"150 HARRISON ST, Toronto, Ontario","150 Harrison Street, Toronto, ON M6J 3B4, Canada",43.6505121,-79.424538,OK,
"260 COLLEGE ST, Toronto, Ontario","260 College Street, Toronto, ON M5T 1R8, Canada",43.6581305,-79.3988937,OK,
"3062 BLOOR ST W, Toronto, Ontario","3062 Bloor Street West, Toronto, ON M8X 2B6, Canada",43.6470443,-79.513425,OK,
"25 BRITISH COLUMBIA RD, Toronto, Ontario","25 British Columbia Road, Toronto, ON M6K 3C3, Canada",43.6315739,-79.4259039,OK,
"1250 BAY ST, Toronto, Ontario","1250 Bay Street, Toronto, ON M5R, Canada",43.6696707,-79.3894679,OK,
"6 GARAMOND CRT, Toronto, Ontario","6 Garamond Court, Toronto, ON M3C, Canada",43.7260129,-79.33478149999999,OK,
"535 DANFORTH AVE, Toronto, Ontario","535 Danforth Avenue, Toronto, ON M4K 1P7, Canada",43.6782254,-79.3479217,OK,
"2620 ISLINGTON AVE, Toronto, Ontario","2620 Islington Avenue, Toronto, ON M9V 1A9, Canada",43.7365083,-79.56513869999999,OK,
"1011 THE QUEENSWAY, Toronto, Ontario","1011 The Queensway, Toronto, ON M8Z 6C7, Canada",43.6232455,-79.5160097,OK,
"171 BENTWORTH AVE, Toronto, Ontario","171 Bentworth Avenue, North York, ON M6A 1P6, Canada",43.7195647,-79.4682299,OK,
"213 WELLESLEY ST E, Toronto, Ontario","213 Wellesley Street East, Toronto, ON M4X 1G1, Canada",43.6673802,-79.3731665,OK,
"469 KING ST W, Toronto, Ontario","469 King Street West, Toronto, ON M5V 3M4, Canada",43.6450536,-79.3966014,OK,
"610 UNIVERSITY AVE, Toronto, Ontario","610 University Avenue, Toronto, ON M5G 2M9, Canada",43.6580742,-79.3905978,OK,
"5005 STEELES AVE E, Toronto, Ontario","5005 Steeles Avenue East, Toronto, ON M1V, Canada",43.828043,-79.2875191,OK,
"682 COLLEGE ST, Toronto, Ontario","682 College Street, Toronto, ON M6G 1C1, Canada",43.6552083,-79.4172542,OK,
"1802 PHARMACY AVE, Toronto, Ontario","1802 Pharmacy Avenue, Toronto, ON M1T 1K1, Canada",43.7757425,-79.31732699999999,OK,
"3280 MIDLAND AVE, Toronto, Ontario","3280 Midland Avenue, Toronto, ON M1V 0C7, Canada",43.8059981,-79.2881866,OK,
"222 QUEEN ST E, Toronto, Ontario","222 Queen Street East, Toronto, ON M5A 1S4, Canada",43.6546115,-79.36909729999999,OK,
"853 THE QUEENSWAY, Toronto, Ontario","853 The Queensway, Etobicoke, ON M8Z 1N6, Canada",43.624734,-79.5097737,OK,
"37 WILLIAM KITCHEN RD, Toronto, Ontario","37 William Kitchen Road, Toronto, ON M1P 2Y6, Canada",43.7735239,-79.28302289999999,OK,
"803 KING ST W, Toronto, Ontario","803 King Street West, Toronto, ON M5V 1C9, Canada",43.6429729,-79.4072362,OK,
